id;name;ca;mg;na;so4;cl;hco3
381;SANT'ANNA Rebruant;1.6;-1;1.9;3.4;-1;6.0;
382;SANT'ANNA DI VINADIO;10.5;-1;0.9;7.8;-1;26.2;
383;SANT'ANTONIO SPONGA;50.0;5.0;1.6;1.3;7.0;195.0;
384;SANT'ELENA;126.0;11.9;20.0;39.2;26.0;362.0;
385;SANTHE';-1;-1;-1;-1;-1;-1;
386;SANTO RAGGIO;-1;-1;-1;-1;-1;-1;
387;SANTO STEFANO;57.8;14.0;2.6;3.4;8.8;251.0;
388;SANTO STEFANO IN CAMPO;-1;-1;-1;-1;-1;-1;
389;SASSOVIVO;70.0;1.3;4.2;5.5;7.9;215.0;
390;SATTAI;21.24;11.18;56.0;23.06;88.24;75.0;
391;SEPINIA;74.7;4.7;4.0;3.2;4.5;264.0;
392;SERENISSIMA;-1;-1;-1;-1;-1;-1;
393;SERRICELLA;3.6;4.6;13.0;4.86;3.9;42.7;
394;SIBILLIA SCOGLIO DELLA VOLPE;-1;-1;-1;-1;-1;-1;
395;SIETE FUENTES DI S. LEONARDO;8.2;5.3;27.5;1.9;42.1;40.9;
396;SILIA;-1;-1;-1;-1;-1;-1;
